DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,K ,15,28,0,0,1,3,0,0,1,0,0,0,0,0,17,31,48
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,PK,21,35,0,1,5,7,0,1,0,0,0,0,0,0,26,44,70
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,01,14,18,2,2,13,14,0,1,0,0,0,0,0,0,29,35,64
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,02,17,18,5,1,12,9,0,0,0,0,0,0,2,0,36,28,64
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,03,16,10,0,2,12,10,1,0,0,0,0,0,0,0,29,22,51
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,04,11,14,0,3,10,6,1,0,0,0,0,0,0,0,22,23,45
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,05,18,14,0,0,8,6,1,0,1,0,0,0,0,0,28,20,48
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
