Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
DI	20062007	02	0009	000	NELIGH-OAKDALE SCHOOLS	38067	19.34	12.00	0.3429	35.00	35	*	*	*	*
DI	20072008	02	0009	000	NELIGH-OAKDALE SCHOOLS	38286	17.49	*	*	34.50	35	*	*	*	*
DI	20082009	02	0009	000	NELIGH-OAKDALE SCHOOLS	39386	17.41	11.00	0.2973	36.50	37	*	*	*	*
SC	19981999	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	32887	17.33	*	*	21.75	*	*	*	*	*
SC	20032004	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	47269	24.72	10.00	0.5556	16.88	*	*	*	*	*
SC	20052006	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41592	25.06	10.00	0.5556	16.76	17	*	*	*	*
SC	20062007	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41474	23.72	*	*	16.76	17	*	*	*	*
SC	20072008	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41093	20.83	*	*	16.88	17	*	*	*	*
SC	20082009	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41739	19.94	*	*	16.88	17	*	*	*	*
SC	19981999	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	32592	19.05	*	*	18.00	*	*	*	*	*
SC	20032004	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	46347	20.17	*	*	18.72	*	*	*	*	*
SC	20052006	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	37767	18.17	*	*	15.24	15	*	*	*	*
SC	20062007	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	35930	15.57	*	*	18.24	18	*	*	*	*
SC	20072008	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	36743	14.30	*	*	17.62	18	*	*	*	*
SC	20082009	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	38518	15.27	*	*	19.62	20	*	*	*	*
DI	19981999	02	0018	000	ELGIN PUBLIC SCHOOLS	27711	13.16	*	*	21.69	*	*	*	*	*
DI	20032004	02	0018	000	ELGIN PUBLIC SCHOOLS	34730	15.10	*	*	18.87	*	*	*	*	*
DI	20052006	02	0018	000	ELGIN PUBLIC SCHOOLS	35585	16.65	*	*	20.56	21	*	*	*	*
DI	20062007	02	0018	000	ELGIN PUBLIC SCHOOLS	38619	17.65	*	*	20.56	21	*	*	*	*
DI	20072008	02	0018	000	ELGIN PUBLIC SCHOOLS	40459	17.92	14.00	0.5833	21.56	22	*	*	*	*
DI	20082009	02	0018	000	ELGIN PUBLIC SCHOOLS	41741	18.83	17.00	0.7083	21.60	22	*	*	*	*
SC	19981999	02	0018	001	ELGIN HIGH SCHOOL	27655	10.85	*	*	*	*	*	*	*	*
SC	20032004	02	0018	001	ELGIN HIGH SCHOOL	65754	14.15	*	*	*	*	*	*	*	*
SC	20052006	02	0018	001	ELGIN HIGH SCHOOL	35791	15.60	*	*	*	*	*	*	*	*
SC	20062007	02	0018	001	ELGIN HIGH SCHOOL	38874	16.60	*	*	*	*	*	*	*	*
SC	20072008	02	0018	001	ELGIN HIGH SCHOOL	40651	16.56	10.00	0.6250	*	10	*	*	*	*
SC	20082009	02	0018	001	ELGIN HIGH SCHOOL	41617	17.81	11.00	0.6875	*	10	*	*	*	*
SC	19981999	02	0018	002	ELGIN ELEMENTARY SCHOOL	27326	14.83	*	*	13.05	*	*	*	*	*
