DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,06,92,102,0,4,25,24,3,3,0,1,0,0,0,2,120,136,256
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,07,89,110,0,3,15,33,2,4,0,0,0,0,3,1,109,151,260
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,08,78,97,1,2,27,23,1,2,0,1,0,0,1,0,108,125,233
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,01,14,11,0,0,7,4,0,0,0,0,0,0,0,1,21,16,37
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,02,19,19,2,0,7,12,0,0,0,0,0,0,2,0,30,31,61
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,03,13,12,0,1,14,4,0,0,0,0,0,0,0,0,27,17,44
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,04,13,15,0,1,4,10,0,0,0,0,0,0,0,1,17,27,44
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,05,17,21,0,2,4,5,0,0,0,0,0,0,0,0,21,28,49
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,K ,20,17,0,0,9,9,1,0,0,0,0,1,1,1,31,28,59
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
