CoDist	DistName	CoDistSch	SchName	Grade	FWNH	MWNH	FAPI	MAPI	FH	MH	FAIA	MAIA	FBNH	MBNH	Female	Male	Total
00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-003	PHOENIX CENTER WEST	10	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-003	PHOENIX CENTER WEST	12	0	3	0	0	0	0	0	0	0	0	0	3	3

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-004	PHOENIX CENTER EAST	10	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-004	PHOENIX CENTER EAST	12	1	5	0	0	0	1	0	0	0	0	1	6	7

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	K	2	0	0	0	0	0	0	0	0	0	2	0	2

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	02	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	03	1	0	0	0	1	0	0	0	0	0	2	0	2

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	04	0	2	0	0	0	0	0	0	0	0	0	2	2

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	05	2	1	0	0	0	0	0	0	0	0	2	1	3

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	06	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	07	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	09	0	0	0	0	1	0	0	0	0	0	1	0	1

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	10	0	2	0	0	0	0	0	0	0	0	0	2	2

