Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	Hispanic	American Indian / Alaskan Native	Asian	Black or African American	Native Hawaiian or Other Pacific Islander	White	Two or More Races
SC	20072008	59	0002	009	WESTSIDE ELEMENTARY SCHOOL	49257	20.05	11.00	0.5238	16.37	*	*	*	*	*	*	*
SC	20082009	59	0002	009	WESTSIDE ELEMENTARY SCHOOL	49348	15.71	11.00	0.5238	16.55	*	*	*	*	*	*	*
SC	20092010	59	0002	009	WESTSIDE ELEMENTARY SCHOOL	51334	18.27	12.00	0.5455	16.29	*	*	*	*	*	*	*
SC	20102011	59	0002	009	WESTSIDE ELEMENTARY SCHOOL	55407	19.86	14.00	0.6667	15.79	*	*	*	*	*	15	*
SC	20002001	59	0002	010	BEL AIR ELEMENTARY SCHOOL	39556	18.35	19.00	0.8261	18.82	*	*	*	*	*	*	*
SC	20052006	59	0002	010	BEL AIR ELEMENTARY SCHOOL	49743	19.68	20.00	0.8000	20.47	*	*	*	*	*	*	*
SC	20072008	59	0002	010	BEL AIR ELEMENTARY SCHOOL	52807	19.61	17.00	0.7391	17.80	*	*	*	*	*	*	*
SC	20082009	59	0002	010	BEL AIR ELEMENTARY SCHOOL	53492	17.57	14.00	0.6667	17.40	*	*	*	*	*	*	*
SC	20092010	59	0002	010	BEL AIR ELEMENTARY SCHOOL	52793	15.92	16.00	0.6400	17.83	*	*	*	*	*	*	*
SC	20102011	59	0002	010	BEL AIR ELEMENTARY SCHOOL	55473	17.30	13.00	0.6500	15.52	*	*	*	*	*	16	*
SC	20002001	59	0002	012	WOODLAND PARK ELEMENTARY SCH	35250	14.13	11.00	0.4583	17.74	*	*	*	*	*	*	*
SC	20052006	59	0002	012	WOODLAND PARK ELEMENTARY SCH	43032	13.45	10.00	0.4545	16.77	*	*	*	*	*	*	*
SC	20072008	59	0002	012	WOODLAND PARK ELEMENTARY SCH	48279	14.30	*	*	16.93	*	*	*	*	*	*	*
SC	20082009	59	0002	012	WOODLAND PARK ELEMENTARY SCH	48183	14.17	12.00	0.5217	17.33	*	*	*	*	*	*	*
SC	20092010	59	0002	012	WOODLAND PARK ELEMENTARY SCH	51207	15.65	13.00	0.5652	16.68	*	*	*	*	*	*	*
SC	20102011	59	0002	012	WOODLAND PARK ELEMENTARY SCH	50063	14.65	*	*	14.40	*	*	*	*	*	14	*
SC	20002001	59	0002	014	NORFOLK MIDDLE SCHOOL	34777	13.68	13.00	0.4643	21.87	*	*	*	*	*	*	*
SC	20052006	59	0002	014	NORFOLK MIDDLE SCHOOL	46363	17.00	17.00	0.6071	24.19	*	*	*	*	*	*	*
SC	20072008	59	0002	014	NORFOLK MIDDLE SCHOOL	50215	16.59	20.00	0.4878	39.10	*	*	*	*	*	*	*
SC	20082009	59	0002	014	NORFOLK MIDDLE SCHOOL	52380	17.15	29.00	0.7073	39.10	*	*	*	*	*	*	*
SC	20092010	59	0002	014	NORFOLK MIDDLE SCHOOL	54365	17.05	33.00	0.7500	39.96	*	*	*	*	*	*	*
SC	20102011	59	0002	014	NORFOLK MIDDLE SCHOOL	53723	16.11	30.00	0.6383	40.74	*	*	*	*	*	41	*
SC	20052006	59	0002	016	ALTERNATIVES FOR SUCCESS SCH	42775	10.00	*	*	*	*	*	*	*	*	*	*
SC	20072008	59	0002	016	ALTERNATIVES FOR SUCCESS SCH	48763	12.00	*	*	*	*	*	*	*	*	*	*
SC	20082009	59	0002	016	ALTERNATIVES FOR SUCCESS SCH	51316	13.00	*	*	*	*	*	*	*	*	*	*
SC	20092010	59	0002	016	ALTERNATIVES FOR SUCCESS SCH	52640	14.00	*	*	*	*	*	*	*	*	*	*
SC	20102011	59	0002	016	ALTERNATIVES FOR SUCCESS SCH	54222	15.00	*	*	*	*	*	*	*	*	*	*
DI	20002001	59	0005	000	BATTLE CREEK PUBLIC SCHOOLS	30133	11.42	*	*	31.38	*	*	*	*	*	*	*
DI	20052006	59	0005	000	BATTLE CREEK PUBLIC SCHOOLS	35232	13.62	11.00	0.3235	31.74	*	*	*	*	*	*	*
DI	20072008	59	0005	000	BATTLE CREEK PUBLIC SCHOOLS	37572	12.95	13.00	0.3421	35.04	*	*	*	*	*	*	*
DI	20082009	59	0005	000	BATTLE CREEK PUBLIC SCHOOLS	40306	12.53	15.00	0.4167	34.67	*	*	*	*	*	*	*
DI	20092010	59	0005	000	BATTLE CREEK PUBLIC SCHOOLS	42211	12.08	18.00	0.4737	35.92	*	*	*	*	*	*	*
DI	20102011	59	0005	000	BATTLE CREEK PUBLIC SCHOOLS	43765	11.70	17.00	0.4595	35.54	*	*	*	*	*	36	*
SC	20002001	59	0005	001	BATTLE CREEK HIGH SCHOOL	31207	12.95	*	*	18.01	*	*	*	*	*	*	*
SC	20052006	59	0005	001	BATTLE CREEK HIGH SCHOOL	35813	14.60	*	*	17.75	*	*	*	*	*	*	*
SC	20072008	59	0005	001	BATTLE CREEK HIGH SCHOOL	36682	12.43	10.00	0.4348	18.57	*	*	*	*	*	*	*
SC	20082009	59	0005	001	BATTLE CREEK HIGH SCHOOL	39292	11.14	10.00	0.4545	20.10	*	*	*	*	*	*	*
SC	20092010	59	0005	001	BATTLE CREEK HIGH SCHOOL	40794	10.04	12.00	0.5217	20.60	*	*	*	*	*	*	*
SC	20102011	59	0005	001	BATTLE CREEK HIGH SCHOOL	41375	9.00	11.00	0.4783	20.52	*	*	*	*	*	21	*
SC	20002001	59	0005	002	BATTLE CREEK ELEMENTARY SCHOOL	29013	9.53	*	*	13.37	*	*	*	*	*	*	*
SC	20052006	59	0005	002	BATTLE CREEK ELEMENTARY SCHOOL	33100	11.06	*	*	13.99	*	*	*	*	*	*	*
SC	20072008	59	0005	002	BATTLE CREEK ELEMENTARY SCHOOL	36554	10.88	*	*	13.29	*	*	*	*	*	*	*
SC	20082009	59	0005	002	BATTLE CREEK ELEMENTARY SCHOOL	40286	13.06	*	*	14.57	*	*	*	*	*	*	*
SC	20092010	59	0005	002	BATTLE CREEK ELEMENTARY SCHOOL	42817	13.72	*	*	15.32	*	*	*	*	*	*	*
SC	20102011	59	0005	002	BATTLE CREEK ELEMENTARY SCHOOL	45707	13.83	*	*	15.02	*	*	*	*	*	15	*
DI	20002001	59	0013	000	NEWMAN GROVE PUBLIC SCHOOLS	32069	15.48	*	*	24.50	*	*	*	*	*	*	*
DI	20052006	59	0013	000	NEWMAN GROVE PUBLIC SCHOOLS	37658	19.73	10.00	0.3846	23.47	*	*	*	*	*	*	*
DI	20072008	59	0013	000	NEWMAN GROVE PUBLIC SCHOOLS	40702	21.15	11.00	0.4231	24.50	*	*	*	*	*	*	*
DI	20082009	59	0013	000	NEWMAN GROVE PUBLIC SCHOOLS	41513	19.72	10.00	0.4000	23.75	*	*	*	*	*	*	*
DI	20092010	59	0013	000	NEWMAN GROVE PUBLIC SCHOOLS	42531	18.58	10.00	0.4167	22.50	*	*	*	*	*	*	*
DI	20102011	59	0013	000	NEWMAN GROVE PUBLIC SCHOOLS	43619	19.04	*	*	21.41	*	*	*	*	*	21	*
SC	20002001	59	0013	001	NEWMAN GROVE HIGH SCHOOL	33151	15.82	*	*	14.95	*	*	*	*	*	*	*
SC	20052006	59	0013	001	NEWMAN GROVE HIGH SCHOOL	38206	20.56	*	*	13.00	*	*	*	*	*	*	*
SC	20072008	59	0013	001	NEWMAN GROVE HIGH SCHOOL	41409	21.50	*	*	13.32	*	*	*	*	*	*	*
SC	20082009	59	0013	001	NEWMAN GROVE HIGH SCHOOL	42822	21.24	*	*	12.80	*	*	*	*	*	*	*
SC	20092010	59	0013	001	NEWMAN GROVE HIGH SCHOOL	43947	19.29	*	*	12.60	*	*	*	*	*	*	*
SC	20102011	59	0013	001	NEWMAN GROVE HIGH SCHOOL	44305	19.71	*	*	12.04	*	*	*	*	*	12	*
SC	20002001	59	0013	002	NEWMAN GROVE ELEMENTARY SCHOOL	30975	16.33	*	*	*	*	*	*	*	*	*	*
SC	20052006	59	0013	002	NEWMAN GROVE ELEMENTARY SCHOOL	37021	19.33	*	*	10.47	*	*	*	*	*	*	*
SC	20072008	59	0013	002	NEWMAN GROVE ELEMENTARY SCHOOL	39756	20.92	*	*	11.18	*	*	*	*	*	*	*
SC	20082009	59	0013	002	NEWMAN GROVE ELEMENTARY SCHOOL	40051	18.92	*	*	10.95	*	*	*	*	*	*	*
SC	20092010	59	0013	002	NEWMAN GROVE ELEMENTARY SCHOOL	40296	15.58	*	*	*	*	*	*	*	*	*	*
SC	20102011	59	0013	002	NEWMAN GROVE ELEMENTARY SCHOOL	41881	17.33	*	*	*	*	*	*	*	*	*	*
DI	20002001	59	0080	000	ELKHORN VALLEY SCHOOLS	32482	13.89	*	*	34.75	*	*	*	*	*	*	*
DI	20052006	59	0080	000	ELKHORN VALLEY SCHOOLS	36210	14.24	*	*	28.75	*	*	*	*	*	*	*
DI	20072008	59	0080	000	ELKHORN VALLEY SCHOOLS	38870	13.00	*	*	27.25	*	*	*	*	*	*	*
DI	20082009	59	0080	000	ELKHORN VALLEY SCHOOLS	40604	13.20	10.00	0.3333	28.75	*	*	*	*	*	*	*
DI	20092010	59	0080	000	ELKHORN VALLEY SCHOOLS	41914	13.31	11.00	0.3793	28.25	*	*	*	*	*	*	*
DI	20102011	59	0080	000	ELKHORN VALLEY SCHOOLS	42423	14.07	10.00	0.3448	28.25	*	*	*	*	*	27	*
SC	20002001	59	0080	001	ELKHORN VALLEY HIGH SCHOOL	33744	14.33	*	*	16.09	*	*	*	*	*	*	*
SC	20052006	59	0080	001	ELKHORN VALLEY HIGH SCHOOL	36404	14.43	*	*	18.21	*	*	*	*	*	*	*
SC	20072008	59	0080	001	ELKHORN VALLEY HIGH SCHOOL	37660	12.53	*	*	16.19	*	*	*	*	*	*	*
SC	20082009	59	0080	001	ELKHORN VALLEY HIGH SCHOOL	39401	12.78	*	*	16.09	*	*	*	*	*	*	*
SC	20092010	59	0080	001	ELKHORN VALLEY HIGH SCHOOL	40561	12.24	*	*	15.09	*	*	*	*	*	*	*
SC	20102011	59	0080	001	ELKHORN VALLEY HIGH SCHOOL	41631	13.24	*	*	15.09	*	*	*	*	*	14	*
SC	20002001	59	0080	002	ELKHORN VALLEY ELEMENTARY SCH	31662	13.90	*	*	17.66	*	*	*	*	*	*	*
SC	20052006	59	0080	002	ELKHORN VALLEY ELEMENTARY SCH	36445	14.77	*	*	10.54	*	*	*	*	*	*	*
SC	20072008	59	0080	002	ELKHORN VALLEY ELEMENTARY SCH	40773	13.79	*	*	11.06	*	*	*	*	*	*	*
SC	20082009	59	0080	002	ELKHORN VALLEY ELEMENTARY SCH	41745	13.25	*	*	12.66	*	*	*	*	*	*	*
SC	20092010	59	0080	002	ELKHORN VALLEY ELEMENTARY SCH	43168	14.25	*	*	13.16	*	*	*	*	*	*	*
SC	20102011	59	0080	002	ELKHORN VALLEY ELEMENTARY SCH	43097	14.81	*	*	13.16	*	*	*	*	*	13	*
DI	20002001	60	0090	000	MC PHERSON COUNTY SCHOOLS	26430	19.88	*	*	*	*	*	*	*	*	*	*
DI	20052006	60	0090	000	MC PHERSON COUNTY SCHOOLS	36633	27.75	*	*	*	*	*	*	*	*	*	*
DI	20072008	60	0090	000	MC PHERSON COUNTY SCHOOLS	37849	24.31	*	*	12.60	*	*	*	*	*	*	*
DI	20082009	60	0090	000	MC PHERSON COUNTY SCHOOLS	42952	24.08	*	*	10.85	*	*	*	*	*	*	*
DI	20092010	60	0090	000	MC PHERSON COUNTY SCHOOLS	45870	23.92	*	*	11.75	*	*	*	*	*	*	*
DI	20102011	60	0090	000	MC PHERSON COUNTY SCHOOLS	44092	24.85	*	*	12.25	*	*	*	*	*	12	*
SC	20002001	60	0090	001	MC PHERSON COUNTY SECONDARY SCHOOL	26430	19.88	*	*	*	*	*	*	*	*	*	*
SC	20052006	60	0090	001	MC PHERSON COUNTY SECONDARY SCHOOL	36633	27.75	*	*	*	*	*	*	*	*	*	*
SC	20072008	60	0090	001	MC PHERSON COUNTY SECONDARY SCHOOL	40416	29.75	*	*	*	*	*	*	*	*	*	*
SC	20082009	60	0090	001	MC PHERSON COUNTY SECONDARY SCHOOL	45267	26.38	*	*	*	*	*	*	*	*	*	*
SC	20092010	60	0090	001	MC PHERSON COUNTY SECONDARY SCHOOL	48507	25.56	*	*	*	*	*	*	*	*	*	*
SC	20102011	60	0090	001	MC PHERSON COUNTY SECONDARY SCHOOL	45760	25.13	*	*	*	*	*	*	*	*	*	*
SC	20072008	60	0090	002	TRYON ELEMENTARY	38485	24.67	*	*	*	*	*	*	*	*	*	*
SC	20082009	60	0090	002	TRYON ELEMENTARY	43307	25.67	*	*	*	*	*	*	*	*	*	*
SC	20092010	60	0090	002	TRYON ELEMENTARY	41256	20.25	*	*	*	*	*	*	*	*	*	*
SC	20102011	60	0090	002	TRYON ELEMENTARY	41172	24.40	*	*	*	*	*	*	*	*	*	*
DI	20002001	61	0004	000	CENTRAL CITY PUBLIC SCHOOLS	33295	17.66	23.00	0.3966	54.38	*	*	*	*	*	*	*
DI	20052006	61	0004	000	CENTRAL CITY PUBLIC SCHOOLS	36633	16.90	22.00	0.3729	55.72	*	*	*	*	*	*	*
DI	20072008	61	0004	000	CENTRAL CITY PUBLIC SCHOOLS	40178	16.20	20.00	0.3390	56.37	*	*	*	*	*	*	*
DI	20082009	61	0004	000	CENTRAL CITY PUBLIC SCHOOLS	39457	16.85	21.00	0.3500	57.37	*	*	*	*	*	*	*
DI	20092010	61	0004	000	CENTRAL CITY PUBLIC SCHOOLS	41789	16.44	19.00	0.3115	58.37	*	*	*	*	*	*	*
DI	20102011	61	0004	000	CENTRAL CITY PUBLIC SCHOOLS	45753	16.68	19.00	0.3333	55.66	*	*	*	*	*	56	*
SC	20002001	61	0004	001	CENTRAL CITY HIGH SCHOOL	31545	15.48	*	*	19.36	*	*	*	*	*	*	*
SC	20052006	61	0004	001	CENTRAL CITY HIGH SCHOOL	35132	15.26	*	*	18.74	*	*	*	*	*	*	*
SC	20072008	61	0004	001	CENTRAL CITY HIGH SCHOOL	38691	16.54	*	*	18.75	*	*	*	*	*	*	*
SC	20082009	61	0004	001	CENTRAL CITY HIGH SCHOOL	37822	16.85	*	*	18.75	*	*	*	*	*	*	*
SC	20092010	61	0004	001	CENTRAL CITY HIGH SCHOOL	40935	17.26	*	*	20.38	*	*	*	*	*	*	*
SC	20102011	61	0004	001	CENTRAL CITY HIGH SCHOOL	44454	16.70	*	*	20.34	*	*	*	*	*	20	*
SC	20002001	61	0004	002	CENTRAL CITY MIDDLE SCHOOL	33316	18.50	*	*	17.30	*	*	*	*	*	*	*
SC	20052006	61	0004	002	CENTRAL CITY MIDDLE SCHOOL	37062	18.05	*	*	16.78	*	*	*	*	*	*	*
SC	20072008	61	0004	002	CENTRAL CITY MIDDLE SCHOOL	41069	16.96	*	*	17.25	*	*	*	*	*	*	*
SC	20082009	61	0004	002	CENTRAL CITY MIDDLE SCHOOL	40310	18.04	*	*	17.75	*	*	*	*	*	*	*
SC	20092010	61	0004	002	CENTRAL CITY MIDDLE SCHOOL	43402	17.68	*	*	17.12	*	*	*	*	*	*	*
SC	20102011	61	0004	002	CENTRAL CITY MIDDLE SCHOOL	46091	16.59	*	*	15.57	*	*	*	*	*	16	*
SC	20002001	61	0004	004	CENTRAL CITY ELEMENTARY SCHOOL	35358	20.05	12.00	0.5714	18.14	*	*	*	*	*	*	*
SC	20052006	61	0004	004	CENTRAL CITY ELEMENTARY SCHOOL	36950	18.38	*	*	20.20	*	*	*	*	*	*	*
SC	20072008	61	0004	004	CENTRAL CITY ELEMENTARY SCHOOL	40858	15.95	*	*	20.37	*	*	*	*	*	*	*
SC	20082009	61	0004	004	CENTRAL CITY ELEMENTARY SCHOOL	40858	16.86	*	*	20.87	*	*	*	*	*	*	*
SC	20092010	61	0004	004	CENTRAL CITY ELEMENTARY SCHOOL	41559	14.95	*	*	20.87	*	*	*	*	*	*	*
SC	20102011	61	0004	004	CENTRAL CITY ELEMENTARY SCHOOL	46263	16.15	*	*	19.75	*	*	*	*	*	20	*
DI	20002001	61	0049	000	PALMER PUBLIC SCHOOLS	31587	17.67	*	*	18.49	*	*	*	*	*	*	*
DI	20052006	61	0049	000	PALMER PUBLIC SCHOOLS	34150	16.90	*	*	19.45	*	*	*	*	*	*	*
DI	20072008	61	0049	000	PALMER PUBLIC SCHOOLS	37297	16.11	*	*	16.50	*	*	*	*	*	*	*
DI	20082009	61	0049	000	PALMER PUBLIC SCHOOLS	38461	16.50	*	*	18.33	*	*	*	*	*	*	*
DI	20092010	61	0049	000	PALMER PUBLIC SCHOOLS	41358	14.86	*	*	18.51	*	*	*	*	*	*	*
DI	20102011	61	0049	000	PALMER PUBLIC SCHOOLS	38906	12.35	*	*	18.42	*	*	*	*	*	18	*
SC	20002001	61	0049	001	PALMER JUNIOR-SENIOR HIGH	32373	15.64	*	*	11.00	*	*	*	*	*	*	*
SC	20052006	61	0049	001	PALMER JUNIOR-SENIOR HIGH	31362	11.23	*	*	10.65	*	*	*	*	*	*	*
SC	20072008	61	0049	001	PALMER JUNIOR-SENIOR HIGH	35329	9.91	*	*	*	*	*	*	*	*	*	*
SC	20082009	61	0049	001	PALMER JUNIOR-SENIOR HIGH	38341	10.45	*	*	*	*	*	*	*	*	*	*
SC	20092010	61	0049	001	PALMER JUNIOR-SENIOR HIGH	41187	12.25	*	*	*	*	*	*	*	*	*	*
SC	20102011	61	0049	001	PALMER JUNIOR-SENIOR HIGH	41218	12.00	*	*	*	*	*	*	*	*	10	*
SC	20002001	61	0049	002	PALMER ELEMENTARY SCHOOL	30140	16.42	*	*	*	*	*	*	*	*	*	*
SC	20052006	61	0049	002	PALMER ELEMENTARY SCHOOL	35783	21.30	*	*	*	*	*	*	*	*	*	*
SC	20072008	61	0049	002	PALMER ELEMENTARY SCHOOL	38018	20.40	*	*	*	*	*	*	*	*	*	*
SC	20082009	61	0049	002	PALMER ELEMENTARY SCHOOL	37797	20.91	*	*	*	*	*	*	*	*	*	*
SC	20092010	61	0049	002	PALMER ELEMENTARY SCHOOL	40960	16.55	*	*	*	*	*	*	*	*	*	*
SC	20102011	61	0049	002	PALMER ELEMENTARY SCHOOL	37215	12.20	*	*	*	*	*	*	*	*	*	*
DI	20002001	62	0021	000	BAYARD PUBLIC SCHOOLS	33439	19.29	10.00	0.2632	36.10	*	*	*	*	*	*	*
DI	20052006	62	0021	000	BAYARD PUBLIC SCHOOLS	39306	17.61	13.00	0.3421	36.38	*	*	*	*	*	*	*
DI	20072008	62	0021	000	BAYARD PUBLIC SCHOOLS	41580	16.49	11.00	0.3143	35.00	*	*	*	*	*	*	*
DI	20082009	62	0021	000	BAYARD PUBLIC SCHOOLS	42720	15.32	*	*	34.00	*	*	*	*	*	*	*
DI	20092010	62	0021	000	BAYARD PUBLIC SCHOOLS	43684	16.59	10.00	0.2941	34.00	*	*	*	*	*	*	*
DI	20102011	62	0021	000	BAYARD PUBLIC SCHOOLS	45047	17.09	10.00	0.2941	32.75	*	*	*	*	*	33	*
SC	20002001	62	0021	001	BAYARD SECONDARY SCHOOL	35484	22.27	10.00	0.4545	18.89	*	*	*	*	*	*	*
SC	20052006	62	0021	001	BAYARD SECONDARY SCHOOL	40500	21.05	*	*	18.45	*	*	*	*	*	*	*
SC	20072008	62	0021	001	BAYARD SECONDARY SCHOOL	43038	19.00	*	*	18.17	*	*	*	*	*	*	*
SC	20082009	62	0021	001	BAYARD SECONDARY SCHOOL	43435	16.44	*	*	17.00	*	*	*	*	*	*	*
SC	20092010	62	0021	001	BAYARD SECONDARY SCHOOL	45331	18.78	*	*	17.50	*	*	*	*	*	*	*
SC	20102011	62	0021	001	BAYARD SECONDARY SCHOOL	46788	19.78	*	*	16.25	*	*	*	*	*	16	*
SC	20002001	62	0021	002	BAYARD ELEMENTARY SCHOOL	31093	14.74	*	*	17.21	*	*	*	*	*	*	*
SC	20052006	62	0021	002	BAYARD ELEMENTARY SCHOOL	37973	13.47	*	*	17.93	*	*	*	*	*	*	*
SC	20072008	62	0021	002	BAYARD ELEMENTARY SCHOOL	40365	13.78	*	*	16.83	*	*	*	*	*	*	*
SC	20082009	62	0021	002	BAYARD ELEMENTARY SCHOOL	42799	14.83	*	*	17.00	*	*	*	*	*	*	*
SC	20092010	62	0021	002	BAYARD ELEMENTARY SCHOOL	42864	15.18	*	*	16.50	*	*	*	*	*	*	*
SC	20102011	62	0021	002	BAYARD ELEMENTARY SCHOOL	44366	15.18	*	*	16.50	*	*	*	*	*	17	*
DI	20002001	62	0063	000	BRIDGEPORT PUBLIC SCHOOLS	33904	18.42	10.00	0.2222	41.51	*	*	*	*	*	*	*
DI	20052006	62	0063	000	BRIDGEPORT PUBLIC SCHOOLS	41268	16.30	*	*	42.13	*	*	*	*	*	*	*
DI	20072008	62	0063	000	BRIDGEPORT PUBLIC SCHOOLS	44405	24.49	*	*	46.50	*	*	*	*	*	*	*
DI	20082009	62	0063	000	BRIDGEPORT PUBLIC SCHOOLS	45064	16.06	*	*	44.75	*	*	*	*	*	*	*
DI	20092010	62	0063	000	BRIDGEPORT PUBLIC SCHOOLS	46225	16.54	*	*	44.77	*	*	*	*	*	*	*
DI	20102011	62	0063	000	BRIDGEPORT PUBLIC SCHOOLS	45677	15.67	*	*	42.75	*	*	*	*	*	42	*
SC	20002001	62	0063	001	BRIDGEPORT HIGH SCHOOL	32858	17.20	*	*	21.17	*	*	*	*	*	*	*
SC	20052006	62	0063	001	BRIDGEPORT HIGH SCHOOL	40460	16.29	*	*	20.70	*	*	*	*	*	*	*
SC	20072008	62	0063	001	BRIDGEPORT HIGH SCHOOL	43477	24.10	*	*	23.50	*	*	*	*	*	*	*
SC	20082009	62	0063	001	BRIDGEPORT HIGH SCHOOL	45512	15.52	*	*	22.63	*	*	*	*	*	*	*
SC	20092010	62	0063	001	BRIDGEPORT HIGH SCHOOL	46354	15.83	*	*	22.64	*	*	*	*	*	*	*
SC	20102011	62	0063	001	BRIDGEPORT HIGH SCHOOL	45833	15.07	*	*	22.59	*	*	*	*	*	23	*
SC	20002001	62	0063	002	BRIDGEPORT ELEMENTARY SCHOOL	34412	17.74	*	*	20.21	*	*	*	*	*	*	*
SC	20052006	62	0063	002	BRIDGEPORT ELEMENTARY SCHOOL	42117	16.67	*	*	21.43	*	*	*	*	*	*	*
SC	20072008	62	0063	002	BRIDGEPORT ELEMENTARY SCHOOL	45595	26.65	*	*	22.00	*	*	*	*	*	*	*
SC	20082009	62	0063	002	BRIDGEPORT ELEMENTARY SCHOOL	44867	16.20	*	*	22.12	*	*	*	*	*	*	*
SC	20092010	62	0063	002	BRIDGEPORT ELEMENTARY SCHOOL	45108	16.24	*	*	22.13	*	*	*	*	*	*	*
SC	20102011	62	0063	002	BRIDGEPORT ELEMENTARY SCHOOL	44116	14.74	*	*	20.16	*	*	*	*	*	19	*
DI	20002001	63	0001	000	FULLERTON PUBLIC SCHOOLS	31188	16.15	*	*	31.35	*	*	*	*	*	*	*
DI	20052006	63	0001	000	FULLERTON PUBLIC SCHOOLS	37169	17.21	*	*	27.21	*	*	*	*	*	*	*
DI	20072008	63	0001	000	FULLERTON PUBLIC SCHOOLS	39196	19.31	11.00	0.3793	27.50	*	*	*	*	*	*	*
DI	20082009	63	0001	000	FULLERTON PUBLIC SCHOOLS	41508	18.50	11.00	0.3929	28.00	*	*	*	*	*	*	*
DI	20092010	63	0001	000	FULLERTON PUBLIC SCHOOLS	43254	18.69	12.00	0.4615	26.00	*	*	*	*	*	*	*
DI	20102011	63	0001	000	FULLERTON PUBLIC SCHOOLS	45809	19.37	14.00	0.5185	25.87	*	*	*	*	*	26	*
SC	20002001	63	0001	001	FULLERTON HIGH SCHOOL	32657	16.60	*	*	12.91	*	*	*	*	*	*	*
SC	20052006	63	0001	001	FULLERTON HIGH SCHOOL	36688	13.88	*	*	12.22	*	*	*	*	*	*	*
SC	20072008	63	0001	001	FULLERTON HIGH SCHOOL	37851	19.12	*	*	15.33	*	*	*	*	*	*	*
SC	20082009	63	0001	001	FULLERTON HIGH SCHOOL	42504	18.94	*	*	15.00	*	*	*	*	*	*	*
SC	20092010	63	0001	001	FULLERTON HIGH SCHOOL	44370	20.57	*	*	13.00	*	*	*	*	*	*	*
SC	20102011	63	0001	001	FULLERTON HIGH SCHOOL	46461	20.87	*	*	13.99	*	*	*	*	*	14	*
SC	20002001	63	0001	002	FULLERTON ELEMENTARY SCHOOL	30620	15.55	*	*	18.44	*	*	*	*	*	*	*
SC	20052006	63	0001	002	FULLERTON ELEMENTARY SCHOOL	37636	18.20	*	*	14.99	*	*	*	*	*	*	*
SC	20072008	63	0001	002	FULLERTON ELEMENTARY SCHOOL	39875	19.43	*	*	12.17	*	*	*	*	*	*	*
SC	20082009	63	0001	002	FULLERTON ELEMENTARY SCHOOL	40296	18.14	*	*	13.00	*	*	*	*	*	*	*
SC	20092010	63	0001	002	FULLERTON ELEMENTARY SCHOOL	42108	17.07	*	*	13.00	*	*	*	*	*	*	*
SC	20102011	63	0001	002	FULLERTON ELEMENTARY SCHOOL	45246	18.07	*	*	11.88	*	*	*	*	*	12	*
DI	20052006	63	0030	000	TWIN RIVER PUBLIC SCHOOLS	40642	20.11	12.00	0.3158	38.00	*	*	*	*	*	*	*
DI	20072008	63	0030	000	TWIN RIVER PUBLIC SCHOOLS	41501	15.93	*	*	39.50	*	*	*	*	*	*	*
DI	20082009	63	0030	000	TWIN RIVER PUBLIC SCHOOLS	42803	16.13	*	*	39.00	*	*	*	*	*	*	*
DI	20092010	63	0030	000	TWIN RIVER PUBLIC SCHOOLS	42237	15.87	12.00	0.3077	38.57	*	*	*	*	*	*	*
DI	20102011	63	0030	000	TWIN RIVER PUBLIC SCHOOLS	43966	16.84	12.00	0.3158	37.57	*	*	*	*	*	38	*
SC	20052006	63	0030	001	TWIN RIVER SR HIGH SCHOOL	39474	20.24	*	*	18.00	*	*	*	*	*	*	*
SC	20072008	63	0030	001	TWIN RIVER SR HIGH SCHOOL	39813	14.36	*	*	20.40	*	*	*	*	*	*	*
SC	20082009	63	0030	001	TWIN RIVER SR HIGH SCHOOL	41642	15.27	*	*	20.40	*	*	*	*	*	*	*
SC	20092010	63	0030	001	TWIN RIVER SR HIGH SCHOOL	43292	16.27	*	*	20.50	*	*	*	*	*	*	*
SC	20102011	63	0030	001	TWIN RIVER SR HIGH SCHOOL	45195	16.62	*	*	18.75	*	*	*	*	*	19	*
SC	20052006	63	0030	003	TWIN RIVER ELEM-GENOA	39370	19.92	*	*	*	*	*	*	*	*	*	*
SC	20072008	63	0030	003	TWIN RIVER ELEM-GENOA	41683	17.81	*	*	13.00	*	*	*	*	*	*	*
SC	20082009	63	0030	003	TWIN RIVER ELEM-GENOA	43013	18.00	*	*	12.87	*	*	*	*	*	*	*
SC	20092010	63	0030	003	TWIN RIVER ELEM-GENOA	41186	15.87	*	*	12.32	*	*	*	*	*	*	*
SC	20102011	63	0030	003	TWIN RIVER ELEM-GENOA	43648	17.31	*	*	13.07	*	*	*	*	*	13	*
SC	20052006	63	0030	004	TWIN RIVER ELEM-SILVER CREEK	39582	18.00	*	*	*	*	*	*	*	*	*	*
SC	20072008	63	0030	004	TWIN RIVER ELEM-SILVER CREEK	43948	14.90	*	*	*	*	*	*	*	*	*	*
SC	20082009	63	0030	004	TWIN RIVER ELEM-SILVER CREEK	44513	13.89	*	*	*	*	*	*	*	*	*	*
SC	20092010	63	0030	004	TWIN RIVER ELEM-SILVER CREEK	39038	13.25	*	*	*	*	*	*	*	*	*	*
SC	20102011	63	0030	004	TWIN RIVER ELEM-SILVER CREEK	40218	14.50	*	*	*	*	*	*	*	*	*	*
