Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	Hispanic	American Indian / Alaskan Native	Asian	Black or African American	Native Hawaiian or Other Pacific Islander	White	Two or More Races
SC	20102011	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	48578	16.56	*	*	12.53	*	*	*	*	*	13	*
DI	20002001	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	38028	20.90	17.00	0.5484	30.60	*	*	*	*	*	*	*
DI	20052006	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	45640	22.00	19.00	0.5938	31.50	*	*	*	*	*	*	*
DI	20072008	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	41891	15.84	27.00	0.3913	67.67	*	*	*	*	*	*	*
DI	20082009	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	44328	16.55	24.00	0.3636	65.10	*	*	*	*	*	*	*
DI	20092010	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	46451	17.33	26.00	0.3881	65.75	*	*	*	*	*	*	*
DI	20102011	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	48682	17.71	31.00	0.4493	67.16	*	*	*	*	*	67	*
SC	20002001	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	38028	20.90	17.00	0.5484	30.60	*	*	*	*	*	*	*
SC	20052006	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	45640	22.00	19.00	0.5938	31.50	*	*	*	*	*	*	*
SC	20072008	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	43655	15.91	18.00	0.5143	33.61	*	*	*	*	*	*	*
SC	20082009	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	45395	16.00	17.00	0.5000	33.60	*	*	*	*	*	*	*
SC	20092010	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	46255	17.06	17.00	0.5152	31.90	*	*	*	*	*	*	*
SC	20102011	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	49987	17.63	21.00	0.6000	33.46	*	*	*	*	*	33	*
SC	20072008	01	0090	002	JUNIATA ELEMENTARY SCHOOL	41256	18.58	*	*	10.27	*	*	*	*	*	*	*
SC	20082009	01	0090	002	JUNIATA ELEMENTARY SCHOOL	43982	21.00	*	*	*	*	*	*	*	*	*	*
SC	20092010	01	0090	002	JUNIATA ELEMENTARY SCHOOL	48339	18.57	*	*	10.62	*	*	*	*	*	*	*
SC	20102011	01	0090	002	JUNIATA ELEMENTARY SCHOOL	47639	18.54	*	*	10.39	*	*	*	*	*	10	*
SC	20072008	01	0090	003	ADAMS COUNTY 15	36569	11.20	*	*	*	*	*	*	*	*	*	*
SC	20082009	01	0090	003	ADAMS COUNTY 15	43681	15.00	*	*	*	*	*	*	*	*	*	*
SC	20092010	01	0090	003	ADAMS COUNTY 15	47041	16.80	*	*	*	*	*	*	*	*	*	*
SC	20102011	01	0090	003	ADAMS COUNTY 15	44095	12.00	*	*	*	*	*	*	*	*	*	*
SC	20072008	01	0090	004	TRI-VIEW SCHOOL	41799	15.40	*	*	*	*	*	*	*	*	*	*
SC	20082009	01	0090	004	TRI-VIEW SCHOOL	45584	23.33	*	*	*	*	*	*	*	*	*	*
SC	20092010	01	0090	004	TRI-VIEW SCHOOL	47246	21.00	*	*	*	*	*	*	*	*	*	*
SC	20102011	01	0090	004	TRI-VIEW SCHOOL	47334	22.60	*	*	*	*	*	*	*	*	*	*
SC	20072008	01	0090	005	AYR SCHOOL	36436	15.75	*	*	*	*	*	*	*	*	*	*
SC	20082009	01	0090	005	AYR SCHOOL	39923	14.50	*	*	*	*	*	*	*	*	*	*
SC	20092010	01	0090	005	AYR SCHOOL	44025	15.25	*	*	*	*	*	*	*	*	*	*
SC	20102011	01	0090	005	AYR SCHOOL	43462	13.57	*	*	*	*	*	*	*	*	*	*
SC	20072008	01	0090	006	WALLACE SCHOOL	36763	13.82	*	*	*	*	*	*	*	*	*	*
SC	20082009	01	0090	006	WALLACE SCHOOL	42920	14.00	*	*	*	*	*	*	*	*	*	*
SC	20092010	01	0090	006	WALLACE SCHOOL	47173	16.50	*	*	*	*	*	*	*	*	*	*
SC	20102011	01	0090	006	WALLACE SCHOOL	48148	15.83	*	*	*	*	*	*	*	*	10	*
DI	20002001	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	32062	16.92	*	*	21.34	*	*	*	*	*	*	*
DI	20052006	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	34999	16.11	*	*	25.17	*	*	*	*	*	*	*
DI	20072008	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	43884	18.20	*	*	23.55	*	*	*	*	*	*	*
DI	20082009	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	39829	17.00	11.00	0.4400	24.05	*	*	*	*	*	*	*
DI	20092010	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	41442	18.04	12.00	0.4444	25.63	*	*	*	*	*	*	*
DI	20102011	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	43298	19.08	12.00	0.4615	24.63	*	*	*	*	*	25	*
SC	20002001	01	0123	001	SILVER LAKE HIGH SCHOOL	32044	17.21	*	*	11.84	*	*	*	*	*	*	*
SC	20052006	01	0123	001	SILVER LAKE HIGH SCHOOL	35784	17.35	*	*	12.92	*	*	*	*	*	*	*
SC	20072008	01	0123	001	SILVER LAKE HIGH SCHOOL	44039	19.00	*	*	12.75	*	*	*	*	*	*	*
SC	20082009	01	0123	001	SILVER LAKE HIGH SCHOOL	39256	17.53	*	*	14.25	*	*	*	*	*	*	*
SC	20092010	01	0123	001	SILVER LAKE HIGH SCHOOL	40441	16.94	*	*	13.50	*	*	*	*	*	*	*
SC	20102011	01	0123	001	SILVER LAKE HIGH SCHOOL	42516	18.87	*	*	12.75	*	*	*	*	*	13	*
SC	20002001	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	32337	17.45	*	*	*	*	*	*	*	*	*	*
SC	20052006	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	34386	14.53	*	*	12.25	*	*	*	*	*	*	*
SC	20072008	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	42241	17.36	*	*	10.80	*	*	*	*	*	*	*
SC	20082009	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	40883	16.50	*	*	*	*	*	*	*	*	*	*
SC	20092010	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	42079	18.36	*	*	12.13	*	*	*	*	*	*	*
SC	20102011	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	43832	18.23	*	*	11.88	*	*	*	*	*	12	*
DI	20002001	02	0009	000	NELIGH-OAKDALE SCHOOLS	34534	21.74	15.00	0.3846	38.75	*	*	*	*	*	*	*
DI	20052006	02	0009	000	NELIGH-OAKDALE SCHOOLS	39683	22.03	13.00	0.4063	32.00	*	*	*	*	*	*	*
DI	20072008	02	0009	000	NELIGH-OAKDALE SCHOOLS	38286	17.49	*	*	34.50	*	*	*	*	*	*	*
DI	20082009	02	0009	000	NELIGH-OAKDALE SCHOOLS	39386	17.41	11.00	0.2973	36.50	*	*	*	*	*	*	*
DI	20092010	02	0009	000	NELIGH-OAKDALE SCHOOLS	40020	15.84	13.00	0.3421	37.50	*	*	*	*	*	*	*
DI	20102011	02	0009	000	NELIGH-OAKDALE SCHOOLS	41710	16.24	13.00	0.3421	37.50	*	*	*	*	*	38	*
SC	20002001	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	34639	21.13	11.00	0.4583	21.75	*	*	*	*	*	*	*
SC	20052006	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41592	25.06	10.00	0.5556	16.76	*	*	*	*	*	*	*
SC	20072008	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41093	20.83	*	*	16.88	*	*	*	*	*	*	*
SC	20082009	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41739	19.94	*	*	16.88	*	*	*	*	*	*	*
SC	20092010	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41545	16.33	*	*	16.88	*	*	*	*	*	*	*
SC	20102011	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	42393	16.17	*	*	16.88	*	*	*	*	*	17	*
SC	20002001	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	34724	22.55	*	*	17.00	*	*	*	*	*	*	*
SC	20052006	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	37767	18.17	*	*	15.24	*	*	*	*	*	*	*
SC	20072008	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	36743	14.30	*	*	17.62	*	*	*	*	*	*	*
SC	20082009	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	38518	15.27	*	*	19.62	*	*	*	*	*	*	*
SC	20092010	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	40056	15.70	*	*	20.62	*	*	*	*	*	*	*
SC	20102011	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	42478	16.61	*	*	20.62	*	*	*	*	*	21	*
DI	20002001	02	0018	000	ELGIN PUBLIC SCHOOLS	30195	15.61	*	*	21.33	*	*	*	*	*	*	*
DI	20052006	02	0018	000	ELGIN PUBLIC SCHOOLS	35585	16.65	*	*	20.56	*	*	*	*	*	*	*
DI	20072008	02	0018	000	ELGIN PUBLIC SCHOOLS	40459	17.92	14.00	0.5833	21.56	*	*	*	*	*	*	*
DI	20082009	02	0018	000	ELGIN PUBLIC SCHOOLS	41741	18.83	17.00	0.7083	21.60	*	*	*	*	*	*	*
DI	20092010	02	0018	000	ELGIN PUBLIC SCHOOLS	42510	19.57	15.00	0.6522	21.35	*	*	*	*	*	*	*
DI	20102011	02	0018	000	ELGIN PUBLIC SCHOOLS	43977	19.83	13.00	0.5652	21.35	*	*	*	*	*	21	*
SC	20002001	02	0018	001	ELGIN HIGH SCHOOL	30213	12.17	*	*	*	*	*	*	*	*	*	*
SC	20052006	02	0018	001	ELGIN HIGH SCHOOL	35791	15.60	*	*	*	*	*	*	*	*	*	*
SC	20072008	02	0018	001	ELGIN HIGH SCHOOL	40651	16.56	10.00	0.6250	*	*	*	*	*	*	*	*
SC	20082009	02	0018	001	ELGIN HIGH SCHOOL	41617	17.81	11.00	0.6875	*	*	*	*	*	*	*	*
SC	20092010	02	0018	001	ELGIN HIGH SCHOOL	43577	19.63	11.00	0.6875	10.40	*	*	*	*	*	*	*
SC	20102011	02	0018	001	ELGIN HIGH SCHOOL	44927	19.56	*	*	10.25	*	*	*	*	*	10	*
SC	20002001	02	0018	002	ELGIN ELEMENTARY SCHOOL	29393	15.88	*	*	12.94	*	*	*	*	*	*	*
SC	20052006	02	0018	002	ELGIN ELEMENTARY SCHOOL	34501	16.40	*	*	11.79	*	*	*	*	*	*	*
SC	20072008	02	0018	002	ELGIN ELEMENTARY SCHOOL	39635	18.40	*	*	11.79	*	*	*	*	*	*	*
SC	20082009	02	0018	002	ELGIN ELEMENTARY SCHOOL	41617	19.13	*	*	11.83	*	*	*	*	*	*	*
SC	20092010	02	0018	002	ELGIN ELEMENTARY SCHOOL	41433	19.08	*	*	10.95	*	*	*	*	*	*	*
SC	20102011	02	0018	002	ELGIN ELEMENTARY SCHOOL	43081	20.08	*	*	11.10	*	*	*	*	*	11	*
DI	20002001	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	28684	15.69	15.00	0.2344	57.35	*	*	*	*	*	*	*
DI	20052006	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	36378	17.62	21.00	0.3333	56.86	*	*	*	*	*	*	*
DI	20072008	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	50923	19.70	23.00	0.3833	55.19	*	*	*	*	*	*	*
DI	20082009	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	41637	20.08	23.00	0.3833	56.38	*	*	*	*	*	*	*
DI	20092010	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	42527	20.44	23.00	0.3898	55.48	*	*	*	*	*	*	*
DI	20102011	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	44105	21.69	22.00	0.3729	54.84	*	*	*	*	*	55	*
SC	20002001	02	2001	001	CLEARWATER HIGH SCHOOL	28659	17.20	*	*	*	*	*	*	*	*	*	*
SC	20052006	02	2001	001	CLEARWATER HIGH SCHOOL	35350	17.14	*	*	*	*	*	*	*	*	*	*
SC	20072008	02	2001	001	CLEARWATER HIGH SCHOOL	50843	16.93	*	*	*	*	*	*	*	*	*	*
SC	20082009	02	2001	001	CLEARWATER HIGH SCHOOL	40639	19.50	*	*	*	*	*	*	*	*	*	*
SC	20092010	02	2001	001	CLEARWATER HIGH SCHOOL	40716	18.62	*	*	*	*	*	*	*	*	*	*
SC	20102011	02	2001	001	CLEARWATER HIGH SCHOOL	42344	18.87	*	*	*	*	*	*	*	*	10	*
SC	20002001	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	29639	15.73	*	*	*	*	*	*	*	*	*	*
SC	20052006	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	34196	13.08	*	*	*	*	*	*	*	*	*	*
SC	20072008	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	49933	14.85	*	*	*	*	*	*	*	*	*	*
SC	20082009	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	39196	16.06	*	*	11.35	*	*	*	*	*	*	*
SC	20092010	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	40351	15.31	*	*	10.97	*	*	*	*	*	*	*
SC	20102011	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	41004	16.12	*	*	10.78	*	*	*	*	*	11	*
SC	20002001	02	2001	003	ORCHARD HIGH SCHOOL	27151	14.62	*	*	10.00	*	*	*	*	*	*	*
SC	20052006	02	2001	003	ORCHARD HIGH SCHOOL	34156	16.15	*	*	10.00	*	*	*	*	*	*	*
SC	20072008	02	2001	003	ORCHARD HIGH SCHOOL	46683	17.46	*	*	*	*	*	*	*	*	*	*
SC	20082009	02	2001	003	ORCHARD HIGH SCHOOL	39771	17.71	*	*	*	*	*	*	*	*	*	*
SC	20092010	02	2001	003	ORCHARD HIGH SCHOOL	40346	18.57	*	*	*	*	*	*	*	*	*	*
SC	20102011	02	2001	003	ORCHARD HIGH SCHOOL	41934	19.40	*	*	*	*	*	*	*	*	*	*
SC	20002001	02	2001	004	ORCHARD ELEMENTARY SCHOOL	27135	15.73	*	*	*	*	*	*	*	*	*	*
SC	20052006	02	2001	004	ORCHARD ELEMENTARY SCHOOL	33799	12.00	*	*	*	*	*	*	*	*	*	*
SC	20072008	02	2001	004	ORCHARD ELEMENTARY SCHOOL	47153	14.00	*	*	*	*	*	*	*	*	*	*
SC	20082009	02	2001	004	ORCHARD ELEMENTARY SCHOOL	40299	17.82	*	*	*	*	*	*	*	*	*	*
SC	20092010	02	2001	004	ORCHARD ELEMENTARY SCHOOL	41644	18.64	*	*	*	*	*	*	*	*	*	*
SC	20102011	02	2001	004	ORCHARD ELEMENTARY SCHOOL	44501	20.64	*	*	*	*	*	*	*	*	*	*
SC	20002001	02	2001	005	VERDIGRE HIGH SCHOOL	30441	17.43	*	*	10.52	*	*	*	*	*	*	*
SC	20052006	02	2001	005	VERDIGRE HIGH SCHOOL	38090	21.20	*	*	10.10	*	*	*	*	*	*	*
SC	20072008	02	2001	005	VERDIGRE HIGH SCHOOL	51862	25.43	*	*	*	*	*	*	*	*	*	*
SC	20082009	02	2001	005	VERDIGRE HIGH SCHOOL	43605	24.67	*	*	*	*	*	*	*	*	*	*
SC	20092010	02	2001	005	VERDIGRE HIGH SCHOOL	42854	24.73	*	*	*	*	*	*	*	*	*	*
SC	20102011	02	2001	005	VERDIGRE HIGH SCHOOL	44241	25.46	*	*	*	*	*	*	*	*	*	*
SC	20002001	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	28123	15.00	*	*	*	*	*	*	*	*	*	*
SC	20052006	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	38578	24.00	*	*	*	*	*	*	*	*	*	*
