Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
SC	20042005	02	0004	001	VALLEY VIEW PUBLIC SCHOOL	21500	14.00	*	*	*	*	*	*	*	*
SC	20052006	02	0004	001	VALLEY VIEW PUBLIC SCHOOL	22000	15.00	*	*	*	*	*	*	*	*
DI	19951996	02	0009	000	NELIGH-OAKDALE SCHOOLS	29156	15.11	15.11	0.2174	39.00					
DI	20002001	02	0009	000	NELIGH-OAKDALE SCHOOLS	34534	21.74	21.74	0.3846	38.75					
DI	20032004	02	0009	000	NELIGH-OAKDALE SCHOOLS	36097	23.88	23.88	0.3824	33.55	34	*	*	*	*
DI	20042005	02	0009	000	NELIGH-OAKDALE SCHOOLS	38194	23.19	23.19	0.3750	31.75	32	*	*	*	*
DI	20052006	02	0009	000	NELIGH-OAKDALE SCHOOLS	39683	22.03	22.03	0.4063	32.00	32	*	*	*	*
SC	19951996	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	28695	14.88	*	*	21.37					
SC	20002001	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	34639	21.13	21.13	0.4583	21.75					
SC	20032004	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	37332	24.72	24.72	0.5556	16.88	17	*	*	*	*
SC	20042005	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	40412	25.67	25.67	0.5556	16.51	17	*	*	*	*
SC	20052006	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41592	25.06	25.06	0.5556	16.76	17	*	*	*	*
SC	19951996	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	28783	15.38	*	*	17.63					
SC	20002001	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	34724	22.55	*	*	17.00					
SC	20032004	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	34512	21.26	*	*	16.67	17	*	*	*	*
SC	20042005	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	36056	19.39	*	*	15.24	15	*	*	*	*
SC	20052006	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	37767	18.17	*	*	15.24	15	*	*	*	*
DI	19951996	02	0018	000	ELGIN PUBLIC SCHOOLS	25117	14.57	*	*	19.92					
DI	20002001	02	0018	000	ELGIN PUBLIC SCHOOLS	30195	15.61	*	*	21.33					
DI	20032004	02	0018	000	ELGIN PUBLIC SCHOOLS	33017	15.79	15.79	0.4167	19.95	20	*	*	*	*
DI	20042005	02	0018	000	ELGIN PUBLIC SCHOOLS	34486	16.58	*	*	21.44	21	*	*	*	*
DI	20052006	02	0018	000	ELGIN PUBLIC SCHOOLS	35585	16.65	*	*	20.56	21	*	*	*	*
SC	19951996	02	0018	001	ELGIN HIGH SCHOOL	24126	12.08	*	*	*					
SC	20002001	02	0018	001	ELGIN HIGH SCHOOL	30213	12.17	*	*	*					
SC	20032004	02	0018	001	ELGIN HIGH SCHOOL	33120	15.44	*	*	*	10	*	*	*	*
SC	20042005	02	0018	001	ELGIN HIGH SCHOOL	34799	17.07	*	*	10.02	10	*	*	*	*
SC	20052006	02	0018	001	ELGIN HIGH SCHOOL	35791	15.60	*	*	*	*	*	*	*	*
SC	19951996	02	0018	002	ELGIN ELEMENTARY SCHOOL	25453	16.44	*	*	12.50					
SC	20002001	02	0018	002	ELGIN ELEMENTARY SCHOOL	29393	15.88	*	*	12.94					
SC	20032004	02	0018	002	ELGIN ELEMENTARY SCHOOL	34102	18.46	*	*	10.29	10	*	*	*	*
SC	20042005	02	0018	002	ELGIN ELEMENTARY SCHOOL	35262	18.21	*	*	11.42	11	*	*	*	*
SC	20052006	02	0018	002	ELGIN ELEMENTARY SCHOOL	34501	16.40	*	*	11.79	12	*	*	*	*
DI	19951996	02	0035	000	SUNNYSIDE PUBLIC SCHOOL	*	8.00	*	*	*					
DI	20002001	02	0035	000	SUNNYSIDE PUBLIC SCHOOL	21100	13.00	*	*	*					
DI	20032004	02	0035	000	SUNNYSIDE PUBLIC SCHOOL	18626	16.00	*	*	*	*	*	*	*	*
DI	20042005	02	0035	000	SUNNYSIDE PUBLIC SCHOOL	19371	17.00	*	*	*	*	*	*	*	*
SC	19951996	02	0035	001	SUNNYSIDE PUBLIC SCHOOL	*	8.00	*	*	*					
SC	20002001	02	0035	001	SUNNYSIDE PUBLIC SCHOOL	*	13.00	*	*	*					
