"CoDist","DistName","CoDistSch","SchName","Grade","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","Ftotal","Mtotal","TOTAL"
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","09",1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","10",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","11",3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,6.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-002","CENTRAL LEARNING CENTER","12",2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","PK",1.00,7.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,8.00,9.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","K",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","01",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","02",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","03",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","04",1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","05",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","06",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","08",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","09",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","11",1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00
"00-0008","EDUCATIONAL SERVICE UNIT 8","00-0008-003","WESTERN LEARNING CENTER","12",2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-004","RED CLOUD PRESCHOOL CNTR BASE","PK",11.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,13.00,24.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-005","SUPERIOR PRESCHOOL CNTR BASE I","PK",5.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,11.00,16.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","K",0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","01",0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,4.00,5.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","02",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","03",1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,5.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","04",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","05",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","06",0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","07",2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","08",3.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,2.00,5.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","09",1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,3.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","10",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","11",2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.00,8.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-008","LIFE SKILLS PROGRAM","12",4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00,9.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-013","BLUE HILL PRESCHOOL CNTR BASE","PK",8.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,10.00,18.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-014","ESU #9 PRESCHOOL HOME BASE PRG","PK",10.00,18.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,11.00,18.00,29.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-015","ADAMS CO PRESCHOOL CNTR BASE I","PK",4.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,6.00,6.00,12.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-016","CLAY CO LEARN CTR/PRESCHOOL","PK",8.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,25.00,33.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-019","ADAMS CO PRESCH CNTR BASE II","PK",4.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,9.00,13.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-020","ADAMS CO PRESCH CNTR BASE III","PK",6.00,6.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,7.00,13.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-021","SUPERIOR PRESCH CNTR BASE II","PK",7.00,9.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,10.00,17.00
"00-0009","EDUCATIONAL SERVICE UNIT 9","00-0009-022","LAWRENCE PRESCHOOL CNTR BASE","PK",10.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,18.00,28.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-001","SCH FOR THE TR MENTALLY HDCP","05",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-001","SCH FOR THE TR MENTALLY HDCP","06",2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-001","SCH FOR THE TR MENTALLY HDCP","08",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
