"DATAYEARS","COUNTY_NAME","CLASS_CODE","CLASS_LITERAL","DistrictName","COUNTY","DISTRICT","SCHOOL","SchoolName","GRADE_CODE","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","TOTAL","MALE","FEMALE"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","06","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","07","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","08","3","4","0","0","0","0","0","0","0","0","7","4","3"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","09","2","3","0","0","0","0","0","0","0","0","5","3","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","10","3","2","0","0","0","0","0","1","0","0","6","3","3"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","11","3","3","0","0","0","0","0","0","1","0","7","3","4"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","12","5","5","0","0","0","0","0","0","0","0","10","5","5"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","K ","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","013","BLUE HILL PRESCHOOL CNTR BASE","PK","9","9","0","0","0","0","1","0","0","0","19","9","10"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","014","ESU #9 PRESCHOOL HOME BASE PRG","PK","21","14","0","0","0","1","0","0","0","1","37","16","21"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","015","ADAMS CO PRESCHOOL CNTR BASE","PK","17","16","0","0","0","0","0","0","1","0","34","16","18"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","016","CLAY CO LEARN CTR/PRESCHOOL","PK","12","15","0","0","0","0","0","0","0","0","27","15","12"
