Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master’s Degrees	Teacher FTE	AM_5	AS_5	BL_5	HI_5	WH_5	AM_7	AS_7	BL_7	HI_7	PI_7	WH_7	MU_7	DataAsOf	
SC	20122013	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	52501	18.76	22	0.6471	33.70						0.00	0.00	0.00	0.00	0.00	33.70	0.00	07/05/2013	
SC	20082009	01	0090	002	JUNIATA ELEMENTARY SCHOOL	43982	21.00	1	0.1111	9.00	0.00	0.00	0.00	0.00	9.00								11/26/2012	
SC	20092010	01	0090	002	JUNIATA ELEMENTARY SCHOOL	48339	18.57	4	0.2857	10.62	0.00	0.00	0.00	0.00	10.62								11/26/2012	
SC	20102011	01	0090	002	JUNIATA ELEMENTARY SCHOOL	47639	18.54	3	0.2308	10.39						0.00	0.00	0.00	0.00	0.00	10.39	0.00	11/26/2012	
SC	20112012	01	0090	002	JUNIATA ELEMENTARY SCHOOL	50304	22.08	4	0.3077	10.56						0.00	0.00	0.00	0.00	0.00	10.56	0.00	11/26/2012	
SC	20122013	01	0090	002	JUNIATA ELEMENTARY SCHOOL	48381	19.71	5	0.3571	10.40						0.00	0.00	0.00	0.00	0.00	10.40	0.00	07/05/2013	
SC	20082009	01	0090	003	ADAMS COUNTY 15	43681	15.00	2	0.2857	7.00	0.00	0.00	0.00	0.00	7.00								11/26/2012	
SC	20092010	01	0090	003	ADAMS COUNTY 15	47041	16.80	4	0.4000	6.15	0.00	0.00	0.00	0.00	6.15								11/26/2012	
SC	20102011	01	0090	003	ADAMS COUNTY 15	44095	12.00	2	0.2500	6.42						0.00	0.00	0.00	0.00	0.00	6.42	0.00	11/26/2012	
SC	20112012	01	0090	003	ADAMS COUNTY 15	47242	15.78	4	0.4444	6.33						0.00	0.00	0.00	0.00	0.00	6.33	0.00	11/26/2012	
SC	20122013	01	0090	003	ADAMS COUNTY 15	48318	19.00	3	0.2308	9.30						0.00	0.00	0.00	0.00	0.00	9.30	0.00	07/05/2013	
SC	20082009	01	0090	004	TRI-VIEW SCHOOL	45584	23.33	1	0.3333	3.00	0.00	0.00	0.00	0.00	3.00								11/26/2012	
SC	20092010	01	0090	004	TRI-VIEW SCHOOL	47246	21.00	3	0.4286	3.78	0.00	0.00	0.00	0.00	3.78								11/26/2012	
SC	20102011	01	0090	004	TRI-VIEW SCHOOL	47334	22.60	2	0.4000	3.38						0.00	0.00	0.00	0.00	0.00	3.38	0.00	11/26/2012	
SC	20112012	01	0090	004	TRI-VIEW SCHOOL	50898	23.43	4	0.5714	3.68						0.00	0.00	0.00	0.00	0.00	3.68	0.00	11/26/2012	
SC	20082009	01	0090	005	AYR SCHOOL	39923	14.50	0	0.0000	4.00	0.00	0.00	0.00	0.00	4.00								11/26/2012	
SC	20092010	01	0090	005	AYR SCHOOL	44025	15.25	1	0.1250	4.10	0.00	0.00	0.00	0.00	4.10								11/26/2012	
SC	20102011	01	0090	005	AYR SCHOOL	43462	13.57	0	0.0000	4.00						0.00	0.00	0.00	0.00	0.00	4.00	0.00	11/26/2012	
SC	20112012	01	0090	005	AYR SCHOOL	47064	17.50	1	0.1250	4.20						0.00	0.00	0.00	0.00	0.00	4.20	0.00	11/26/2012	
SC	20082009	01	0090	006	WALLACE SCHOOL	42920	14.00	3	0.3333	8.50	0.00	0.00	0.00	0.00	8.50								11/26/2012	
SC	20092010	01	0090	006	WALLACE SCHOOL	47173	16.50	4	0.3333	9.20	0.00	0.00	0.00	0.00	9.20								11/26/2012	
SC	20102011	01	0090	006	WALLACE SCHOOL	48148	15.83	5	0.4167	9.51						0.00	0.00	0.00	0.00	0.00	9.51	0.00	11/26/2012	
SC	20112012	01	0090	006	WALLACE SCHOOL	48190	16.42	5	0.4167	9.31						0.00	0.00	0.00	0.00	0.00	9.31	0.00	11/26/2012	
SC	20122013	01	0090	006	WALLACE SCHOOL	49977	19.46	5	0.3846	9.60						0.00	0.00	0.00	0.00	0.00	9.60	0.00	07/05/2013	
DI	20082009	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	39829	17.00	11	0.4400	24.05	0.00	0.00	0.00	0.00	24.05								11/26/2012	
DI	20092010	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	41442	18.04	12	0.4444	25.63	0.00	0.00	0.00	0.00	25.63								11/26/2012	
DI	20102011	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	43298	19.08	12	0.4615	24.63						0.00	0.00	0.00	0.00	0.00	24.63	0.00	11/26/2012	
DI	20112012	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	45020	18.04	12	0.4444	25.63						0.00	0.00	0.00	0.00	0.00	25.63	0.00	11/26/2012	
DI	20122013	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	45783	17.96	12	0.4800	24.38						0.00	0.00	0.00	0.00	0.00	24.38	0.00	07/05/2013	
SC	20082009	01	0123	001	SILVER LAKE HIGH SCHOOL	39256	17.53	7	0.4118	14.25	0.00	0.00	0.00	0.00	14.25								11/26/2012	
SC	20092010	01	0123	001	SILVER LAKE HIGH SCHOOL	40441	16.94	7	0.4118	13.50	0.00	0.00	0.00	0.00	13.50								11/26/2012	
SC	20102011	01	0123	001	SILVER LAKE HIGH SCHOOL	42516	18.87	7	0.4667	12.75						0.00	0.00	0.00	0.00	0.00	12.75	0.00	11/26/2012	
SC	20112012	01	0123	001	SILVER LAKE HIGH SCHOOL	44231	18.69	8	0.5000	13.75						0.00	0.00	0.00	0.00	0.00	13.75	0.00	11/26/2012	
SC	20122013	01	0123	001	SILVER LAKE HIGH SCHOOL	43878	16.33	8	0.5333	12.75						0.00	0.00	0.00	0.00	0.00	12.75	0.00	07/05/2013	
SC	20082009	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	40883	16.50	6	0.5000	9.80	0.00	0.00	0.00	0.00	9.80								11/26/2012	
SC	20092010	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	42079	18.36	7	0.5000	12.13	0.00	0.00	0.00	0.00	12.13								11/26/2012	
SC	20102011	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	43832	18.23	6	0.4615	11.88						0.00	0.00	0.00	0.00	0.00	11.88	0.00	11/26/2012	
SC	20112012	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	45481	16.46	5	0.3846	11.88						0.00	0.00	0.00	0.00	0.00	11.88	0.00	11/26/2012	
SC	20122013	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	46302	17.08	5	0.3846	11.63						0.00	0.00	0.00	0.00	0.00	11.63	0.00	07/05/2013	
DI	20082009	02	0009	000	NELIGH-OAKDALE SCHOOLS	39386	17.41	11	0.2973	36.50	0.00	0.00	0.00	0.00	36.50								11/26/2012	
DI	20092010	02	0009	000	NELIGH-OAKDALE SCHOOLS	40020	15.84	13	0.3421	37.50	0.00	0.00	0.00	0.00	37.50								11/26/2012	
DI	20102011	02	0009	000	NELIGH-OAKDALE SCHOOLS	41710	16.24	13	0.3421	37.50						0.00	0.00	0.00	0.00	0.00	37.50	0.00	11/26/2012	
DI	20112012	02	0009	000	NELIGH-OAKDALE SCHOOLS	42631	15.97	14	0.3784	36.63						0.00	0.00	0.00	0.00	0.00	36.63	0.00	11/26/2012	
DI	20122013	02	0009	000	NELIGH-OAKDALE SCHOOLS	45595	16.97	13	0.3514	35.73						0.00	0.00	0.00	0.00	0.00	35.73	0.00	07/05/2013	
SC	20082009	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41739	19.94	7	0.3889	16.88	0.00	0.00	0.00	0.00	16.88								11/26/2012	
SC	20092010	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	41545	16.33	8	0.4444	16.88	0.00	0.00	0.00	0.00	16.88								11/26/2012	
SC	20102011	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	42393	16.17	7	0.3889	16.88						0.00	0.00	0.00	0.00	0.00	16.88	0.00	11/26/2012	
SC	20112012	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	43458	14.71	7	0.4118	15.88						0.00	0.00	0.00	0.00	0.00	15.88	0.00	11/26/2012	
SC	20122013	02	0009	001	NELIGH-OAKDALE JR/SR HIGH SCH	46783	16.24	7	0.4118	15.78						0.00	0.00	0.00	0.00	0.00	15.78	0.00	07/05/2013	
SC	20082009	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	38518	15.27	7	0.3182	19.62	0.00	0.00	0.00	0.00	19.62								11/26/2012	
SC	20092010	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	40056	15.70	8	0.3478	20.62	0.00	0.00	0.00	0.00	20.62								11/26/2012	
SC	20102011	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	42478	16.61	9	0.3913	20.62						0.00	0.00	0.00	0.00	0.00	20.62	0.00	11/26/2012	
SC	20112012	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	43273	17.39	10	0.4348	20.75						0.00	0.00	0.00	0.00	0.00	20.75	0.00	11/26/2012	
